Liquid Makeup - Creamy Beige,L.A. Colors,465 ,12
Jellie Shimmer Lipgloss - Venom,L.A. Colors,470 ,1
Perfecting Liquid Make Up - Toasted Almond,L.A GIRL,"1,100 ",1
Pout Lipgloss Matte - XOXO,L.A. Colors,600 ,14
"Bronzer - Bronze Glow BBL396, 0.13 Oz.",L.A. Colors,700 ,1
Luxury Creme Lipstick - Kiss & Tell,L.A GIRL,800 ,1
Matte Flat Velvet Lipstick - Manic,L.A GIRL,900 ,3
Liquid Makeup - Ebony,L.A. Colors,465 ,8
Matte Lip Color - Berry Ice,L.A. Colors,500 ,1
Nail Polish - Illusion,L.A. Colors,456 ,3
Nail Polish - Metal Blue,L.A. Colors,456 ,1
Nail Art Deco - Gold Glitter,L.A. Colors,475 ,1
Jellie Shimmer Lipgloss - Bloom,L.A. Colors,470 ,1
Moisture Lipstick - Beige Mocha,L.A. Colors,500 ,11
Mascara - Black-Brown,L.A. Colors,500 ,3
Nail polish - Animated Red,L.A. Colors,456 ,1
Gel Like Nail Polish -CNP769 Chateau,L.A. Colors,650 ,3
Color Craze Nail Polish - Live,L.A. Colors,456 ,4
Moisturising Lipgloss - Orchid,L.A. Colors,500 ,9
Moisture Lipstick- Copper Glaze,L.A. Colors,500 ,5
Lipliner Pencil Chocolate,L.A. Colors,440 ,3
Dramatilash Lash Deluxe False Eyelash Kit - Fairy,L.A. Colors,650 ,1
Moisture Lipstick- Clear,L.A. Colors,500 ,2
Moisture Lipstick -Pink-a-Boo,L.A. Colors,500 ,9
Moisture Lipstick- Apricot Frost,L.A. Colors,500 ,2
5 Color Eyeshadows - Stormy,L.A. Colors,565 ,1
Smudge Proof Liquid Eyeliner (7ml) - Navy Blue,L.A. Colors,500 ,5
Nail Polish - Glistening Purple,L.A. Colors,456 ,1
Nail Lacquer-Naughty,L.A GIRL,680 ,1
Luxury Creme Lipstick - Sexy,L.A GIRL,800 ,3
Matte Lipstick - Tender,L.A. Colors,700 ,1
12 Color Eyeshadow - Smokey,L.A. Colors,784 ,2
